S1_Pre,S1_T1,S1_T2,S1_T3,S1_T4,S1_T5,S1_T5_V2,S2_Pre,S2_T1,S2_T2,S2_T3,S2_T4,S2_T5,S3_Pre,S3_T1,S3_T2,S3_T3,S3_T4,S3_T5,S4_Pre,S4_T1_V2,S4_T2,S4_T3,S4_T4,S4_T5,Time
-0.020767212,-0.018692017,-0.002082825,-0.022842407,-0.0166168,0.093467712,-0.024925232,-0.018699646,-0.022850037,-0.031158447,-0.029075623,-0.031158447,-0.002082825,0.494346619,-0.0083084,-0.031158447,0.004150391,0.002082825,0.002075195,-0.012466431,0.006233215,0.012458801,0.006233215,0.010391235,0.006233215,0
-0.018692017,-0.016616821,-0.002082825,-0.020767212,-0.018692,0.135009766,-0.022850037,-0.008308411,-0.022850037,-0.035308838,-0.029075623,-0.024925232,-0.002082825,0.504730225,-0.0145416,-0.035308838,0.004150391,0.00415802,0.002075195,-0.014541626,-0.004150391,0.006225586,0.00415802,0.012466431,0.00415802,0.02
-0.014541626,-0.016616821,-0.006233215,-0.022842407,-0.02285,0.182785034,-0.029075623,-0.016616821,-0.027008057,-0.029083252,-0.035308838,-0.024925232,0.004150391,0.500579834,-0.0041504,-0.029083252,0.002075195,0.008308411,0,-0.010383606,0,0.010383606,0,0.00415802,0.006233215,0.04
-0.012458801,-0.010383606,0.008308411,-0.020767212,-0.0270004,0.216018677,-0.027000427,-0.018699646,-0.029083252,-0.031158447,-0.031158447,-0.033233643,0.002075195,0.494346619,-0.0062332,-0.031158447,-0.002075195,0,0,-0.010383606,0.008308411,0.006225586,0.002082825,0.006233215,0.008308411,0.06
-0.014541626,-0.016616821,0.006225586,-0.018692017,-0.0207748,0.216018677,-0.029075623,-0.010391235,-0.029083252,-0.035308838,-0.027000427,-0.033233643,-0.002082825,0.496421814,-0.0083084,-0.035308838,0,-0.002075195,0.002075195,-0.012466431,0.002075195,-0.006233215,0.008308411,0.008308411,0.006233215,0.08
-0.016616821,-0.018692017,5.55E-17,-0.016616821,-0.0166168,0.151626587,-0.024925232,-0.012466431,-0.031158447,-0.039466858,-0.031158447,-0.031158447,-0.002082825,0.519271851,-0.0083084,-0.039466858,0.002075195,0.00415802,-0.004150391,-0.00415802,0.006233215,0.008308411,0.00415802,0.002082825,0.006233215,0.1
-0.014541626,-0.020767212,-0.002082825,-0.022842407,-0.0270004,0.049850464,-0.024925232,-0.014541626,-0.024925232,-0.035308838,-0.024925232,-0.033233643,0,0.508888245,-0.0145416,-0.035308838,0.002075195,0.00415802,0.00415802,-0.006233215,0.008308411,0.004150391,0.002082825,0.014541626,0.008308411,0.12
-0.010383606,-0.016616821,0.002075195,-0.022842407,-0.02285,-0.006233215,-0.024925232,-0.010391235,-0.024925232,-0.039466858,-0.033233643,-0.027008057,0.002075195,0.508888245,-0.0083084,-0.039466858,0,0.00415802,0.008308411,0,0.002075195,0.002075195,0.00415802,0.008308411,0,0.14
-0.016616821,-0.016616821,0.004150391,-0.024925232,-0.0207748,-0.039466858,-0.027000427,-0.012466431,-0.024925232,-0.037391663,-0.031158447,-0.031158447,0.002075195,0.508888245,-0.0124588,-0.037391663,-0.006233215,0.00415802,0,-0.002075195,0.002075195,0.004150391,0.010391235,0.006233215,-0.002075195,0.16
-0.022850037,-0.022850037,0.006225586,-0.024925232,-0.0249252,-0.043624878,-0.029075623,-0.012466431,-0.029083252,-0.027000427,-0.022850037,-0.033233643,-0.00415802,0.508888245,-0.0062332,-0.027000427,0.004150391,0.008308411,0,0,0,0.012458801,0.006233215,0.010391235,0.006233215,0.18
-0.020767212,-0.018692017,0.002075195,-0.024925232,-0.018692,-0.045700073,-0.022850037,-0.010391235,-0.027008057,-0.027000427,-0.024925232,-0.022850037,0,0.506813049,-0.0062332,-0.027000427,0,0.002082825,0.002075195,-0.002075195,0.008308411,0.008308411,0.002082825,0.008308411,0,0.2
-0.020767212,-0.016616821,-0.002082825,-0.029075623,-0.0249252,-0.027008057,-0.024925232,-0.014541626,-0.033233643,-0.031158447,-0.024925232,-0.029083252,0.004150391,0.498504639,-0.0062332,-0.031158447,0.002075195,0.002082825,-0.006233215,0,0.008308411,0.004150391,0,0.014541626,0.002082825,0.22
-0.016616821,-0.018692017,5.55E-17,-0.035308838,-0.02285,0.016616821,-0.020767212,-0.024925232,-0.029083252,-0.031158447,-0.027000427,-0.033233643,-0.002082825,0.500579834,0,-0.031158447,0.008308411,-0.008308411,0.00415802,0.004150391,0,0.010383606,0.00415802,0.008308411,0.00415802,0.24
-0.014541626,-0.014541626,0.002075195,-0.024925232,-0.0166168,0.081001282,-0.024925232,-0.016616821,-0.024925232,-0.035308838,-0.029075623,-0.029083252,0.004150391,0.51096344,-0.0083084,-0.035308838,0.004150391,0,0.002075195,0.004150391,0.022850037,0.010383606,0.010391235,0.008308411,0,0.26
-0.014541626,-0.018692017,-0.002082825,-0.020767212,-0.0249252,0.218093872,-0.024925232,-0.018699646,-0.024925232,-0.039466858,-0.035308838,-0.033233643,0.002075195,0.504730225,-0.0103836,-0.039466858,0.002075195,0.002082825,-0.004150391,0,0.051925659,0.008308411,0.006233215,0.006233215,0.006233215,0.28
-0.014541626,-0.018692017,-0.006233215,-0.018692017,-0.0207748,0.365570068,-0.020767212,-0.010391235,-0.029083252,-0.033233643,-0.033233643,-0.022850037,-0.008308411,0.500579834,-0.0103836,-0.033233643,0,0.00415802,0.002075195,0.010383606,0.091392517,0.004150391,0.006233215,0.014541626,0.010391235,0.3
-0.018692017,-0.016616821,5.55E-17,-0.020767212,-0.0249252,0.444496155,-0.020767212,-0.022850037,-0.031158447,-0.037391663,-0.024925232,-0.027008057,-0.00415802,0.492271423,-0.0041504,-0.037391663,0.002075195,0,0.002075195,-0.002075195,0.089317322,0.004150391,0.006233215,0.010391235,0.00415802,0.32
