Time,S1_Pre,S1_T1,S1_T2,S1_T3,S1_T4,S1_T5,S1_T5_2
0,-0.020767212,-0.018692017,-0.002082825,-0.022842407,-0.0166168,0.093467712,-0.024925232
0.02,-0.018692017,-0.016616821,-0.002082825,-0.020767212,-0.018692,0.135009766,-0.022850037
0.04,-0.014541626,-0.016616821,-0.006233215,-0.022842407,-0.02285,0.182785034,-0.029075623
0.06,-0.012458801,-0.010383606,0.008308411,-0.020767212,-0.0270004,0.216018677,-0.027000427
0.08,-0.014541626,-0.016616821,0.006225586,-0.018692017,-0.0207748,0.216018677,-0.029075623
0.1,-0.016616821,-0.018692017,5.55E-17,-0.016616821,-0.0166168,0.151626587,-0.024925232
0.12,-0.014541626,-0.020767212,-0.002082825,-0.022842407,-0.0270004,0.049850464,-0.024925232
0.14,-0.010383606,-0.016616821,0.002075195,-0.022842407,-0.02285,-0.006233215,-0.024925232
0.16,-0.016616821,-0.016616821,0.004150391,-0.024925232,-0.0207748,-0.039466858,-0.027000427
0.18,-0.022850037,-0.022850037,0.006225586,-0.024925232,-0.0249252,-0.043624878,-0.029075623
0.2,-0.020767212,-0.018692017,0.002075195,-0.024925232,-0.018692,-0.045700073,-0.022850037
0.22,-0.020767212,-0.016616821,-0.002082825,-0.029075623,-0.0249252,-0.027008057,-0.024925232
0.24,-0.016616821,-0.018692017,5.55E-17,-0.035308838,-0.02285,0.016616821,-0.020767212
0.26,-0.014541626,-0.014541626,0.002075195,-0.024925232,-0.0166168,0.081001282,-0.024925232
0.28,-0.014541626,-0.018692017,-0.002082825,-0.020767212,-0.0249252,0.218093872,-0.024925232
0.3,-0.014541626,-0.018692017,-0.006233215,-0.018692017,-0.0207748,0.365570068,-0.020767212
0.32,-0.018692017,-0.016616821,5.55E-17,-0.020767212,-0.0249252,0.444496155,-0.020767212
0.34,-0.014541626,-0.020767212,5.55E-17,-0.020767212,-0.0249252,0.488113403,-0.018692017
0.36,-0.018692017,-0.020767212,0.002075195,-0.020767212,-0.02285,0.506813049,-0.022850037
0.38,-0.018692017,-0.020767212,5.55E-17,-0.024925232,-0.0249252,0.523429871,-0.024925232
0.4,-0.012458801,-0.022850037,0.004150391,-0.020767212,-0.0249252,0.552505493,-0.018692017
