Time,S3_Pre,S3_T1,S3_T2,S3_T3,S3_T4,S3_T5
0,0.494346619,-0.0083084,-0.031158447,0.004150391,0.002082825,0.002075195
0.02,0.504730225,-0.0145416,-0.035308838,0.004150391,0.00415802,0.002075195
0.04,0.500579834,-0.0041504,-0.029083252,0.002075195,0.008308411,0
0.06,0.494346619,-0.0062332,-0.031158447,-0.002075195,0,0
0.08,0.496421814,-0.0083084,-0.035308838,0,-0.002075195,0.002075195
0.1,0.519271851,-0.0083084,-0.039466858,0.002075195,0.00415802,-0.004150391
0.12,0.508888245,-0.0145416,-0.035308838,0.002075195,0.00415802,0.00415802
0.14,0.508888245,-0.0083084,-0.039466858,0,0.00415802,0.008308411
0.16,0.508888245,-0.0124588,-0.037391663,-0.006233215,0.00415802,0
0.18,0.508888245,-0.0062332,-0.027000427,0.004150391,0.008308411,0
0.2,0.506813049,-0.0062332,-0.027000427,0,0.002082825,0.002075195
0.22,0.498504639,-0.0062332,-0.031158447,0.002075195,0.002082825,-0.006233215
0.24,0.500579834,0,-0.031158447,0.008308411,-0.008308411,0.00415802
0.26,0.51096344,-0.0083084,-0.035308838,0.004150391,0,0.002075195
0.28,0.504730225,-0.0103836,-0.039466858,0.002075195,0.002082825,-0.004150391
0.3,0.500579834,-0.0103836,-0.033233643,0,0.00415802,0.002075195
0.32,0.492271423,-0.0041504,-0.037391663,0.002075195,0,0.002075195
0.34,0.488113403,-0.0062332,-0.037391663,0.002075195,0.002082825,0.002075195
0.36,0.473579407,-0.0145416,-0.035308838,0.002075195,0.006233215,0.006233215
0.38,0.471496582,-0.0041504,-0.039466858,-0.00415802,0.006233215,0.002075195
0.4,0.461112976,-0.0083084,-0.033233643,0.002075195,0,0.008308411
0.42,0.475654602,-0.0207672,-0.039466858,0.008308411,0.00415802,-0.002075195
0.44,0.481887817,-0.0062332,-0.037391663,0.002075195,0.008308411,0.002075195
0.46,0.517196655,-0.0083084,-0.031158447,0.006233215,0.002082825,0.00415802
0.48,0.527580261,-0.0041504,-0.031158447,0.004150391,-0.002075195,0.002075195
0.5,0.508888245,-0.0062332,-0.035308838,-0.002075195,-0.002075195,0.006233215
0.52,0.471496582,-0.0083084,-0.029083252,0.006233215,0.006233215,-0.002075195
0.54,0.425804138,-0.0020752,-0.024925232,-0.002075195,0.002082825,-0.002075195
0.56,0.402954102,-0.0083084,-0.037391663,0.006233215,0.002082825,0.006233215
0.58,0.405029297,-0.0145416,-0.037391663,0,0.002082825,0.002075195
0.6,0.405029297,-0.0062332,-0.037391663,-0.002075195,-0.002075195,0.006233215
0.62,0.392570496,-0.0020752,-0.037391663,0.002075195,0.00415802,-0.004150391
0.64,0.38218689,-0.0062332,-0.027000427,0.002075195,0.006233215,0.00415802
0.66,0.375953674,-0.0083084,-0.033233643,0,0,0.00415802
0.68,0.375953674,-0.0083084,-0.031158447,0,0,-0.004150391
0.7,0.388412476,-0.0083084,-0.031158447,-0.002075195,0,-0.006233215
0.72,0.432037354,-0.0103836,-0.033233643,0.004150391,0.00415802,-0.004150391
0.74,0.502655029,-0.0062332,-0.033233643,-0.002075195,0.002082825,0
0.76,0.623130798,-0.0062332,-0.033233643,0.004150391,-0.002075195,0
0.78,0.733215332,-0.0041504,-0.035308838,-0.002075195,0.006233215,0.002075195
0.8,0.810066223,-0.0062332,-0.039466858,-0.002075195,-0.002075195,0.008308411
0.82,0.868225098,-0.018692,-0.033233643,0.006233215,0.010391235,0.008308411
0.84,0.876533508,-0.0062332,-0.033233643,0.002075195,0.00415802,-0.002075195
0.86,0.778907776,-0.0083084,-0.031158447,0.004150391,0.002082825,-0.002075195
0.88,0.687515259,-0.0124588,-0.035308838,0.002075195,0.002082825,-0.002075195
0.9,0.645973206,-0.0062332,-0.031158447,0.002075195,0.002082825,0
0.92,0.589897156,-0.0103836,-0.033233643,-0.002075195,0.010391235,0
0.94,0.525505066,-0.0020752,-0.029083252,0,0.010391235,0
0.96,0.477729797,-0.0083084,-0.037391663,0.002075195,0.006233215,-0.004150391
0.98,0.467346191,-0.0083084,-0.041542053,0.004150391,0.002082825,0
1,0.45072937,-0.0041504,-0.037391663,0.002075195,0.006233215,-0.002075195
1.02,0.45072937,-0.0083084,-0.039466858,0,0.006233215,0.002075195
1.04,0.448654175,-0.0041504,-0.033233643,-0.002075195,0,0.00415802
1.06,0.454879761,-0.0083084,-0.037391663,0.002075195,0.00415802,0
1.08,0.452804565,-0.0145416,-0.033233643,0.006233215,0.00415802,0.00415802
1.1,0.456962585,-0.0145416,-0.029083252,0.002075195,0.008308411,-0.002075195
1.12,0.461112976,-0.0124588,-0.033233643,0,0,-0.004150391
1.14,0.459037781,-0.0020752,-0.033233643,-0.006233215,0,-0.006233215
1.16,0.461112976,-0.0041504,-0.039466858,0.004150391,0,-0.014541626
1.18,0.471496582,-0.0020752,-0.033233643,-0.002075195,-0.004150391,-0.014541626
1.2,0.477729797,-0.0083084,-0.033233643,0.004150391,-0.008308411,-0.014541626
1.22,0.483963013,-0.0020752,-0.043617249,0.002075195,-0.006225586,-0.016616821
1.24,0.494346619,-0.0020752,-0.045700073,0.006233215,-0.008308411,-0.010383606
1.26,0.502655029,-0.0062332,-0.054008484,0.004150391,-0.008308411,-0.012458801
1.28,0.502655029,-0.0062332,-0.056083679,0.004150391,-0.014533997,-0.006233215
1.3,0.51512146,-0.0041504,-0.054008484,0.004150391,-0.016616821,0.008308411
1.32,0.531738281,-0.0083084,-0.054008484,0.008308411,-0.022842407,0.002075195
1.34,0.548355103,-0.0083084,-0.06439209,0.010383606,-0.018692017,-0.002075195
1.36,0.573280334,-0.0083084,-0.06439209,0.004150391,-0.022842407,-0.004150391
1.38,0.618972778,-0.0062332,-0.06023407,-0.002075195,-0.020767212,-0.004150391
1.4,0.670898438,-0.0083084,-0.06439209,0,-0.020767212,0
1.42,0.706214905,-0.0103836,-0.06439209,0,-0.027000427,-0.004150391
1.44,0.747756958,-0.0103836,-0.06439209,0,-0.022842407,-0.008308411
1.46,0.793449402,-0.0083084,-0.062316895,-0.006233215,-0.033233643,-0.010383606
1.48,0.826683044,-0.0083084,-0.062316895,-0.002075195,-0.018692017,-0.002075195
1.5,0.851608276,-0.0041504,-0.066467285,-0.002075195,-0.027000427,-0.008308411
1.52,0.884841919,-0.0124588,-0.062316895,-0.006233215,-0.029075623,0
1.54,0.926383972,-0.0062332,-0.066467285,-0.006233215,-0.033233643,-0.002075195
1.56,0.986618042,-0.0083084,-0.066467285,0.002075195,-0.018692017,-0.002075195
1.58,1.063476563,-0.0062332,-0.078933716,-0.006233215,-0.029075623,-0.004150391
1.6,1.119552612,-0.0062332,-0.070625305,-0.008308411,-0.016616821,-0.002075195
1.62,1.132019043,-0.0041504,-0.070625305,-0.00415802,-0.024925232,-0.010383606
1.64,1.146560669,-0.0083084,-0.074775696,-0.010383606,-0.022842407,-0.002075195
1.66,1.181869507,-0.0062332,-0.074775696,-0.00415802,-0.024925232,0.016616821
1.68,1.213027954,-0.0041504,-0.0727005,-0.006233215,-0.022842407,0.056083679
1.7,1.262878418,-0.0041504,-0.0727005,0,-0.024925232,0.083084106
1.72,1.337654114,-0.0124588,-0.078933716,-0.00415802,-0.024925232,0.097625732
1.74,1.318954468,-0.0145416,-0.076850891,-0.00415802,-0.018692017,0.108009338
1.76,0.64805603,-0.0062332,-0.0727005,-0.00415802,-0.035308838,0.126701355
1.78,0.25340271,-0.0145416,-0.081008911,-0.00415802,-0.024925232,0.12878418
1.8,0.089309692,-0.0103836,-0.076850891,-0.00415802,-0.018692017,0.122550964
1.82,0.035308838,-0.0103836,-0.0727005,0.004150391,-0.018692017,0.147476196
1.84,0.012458801,-0.018692,-0.074775696,0.002075195,-0.033233643,0.149551392
1.86,0.004150391,-0.0249252,-0.076850891,-0.00415802,-0.020767212,0.145401001
1.88,-0.008308411,-0.0270004,-0.06854248,-0.002075195,-0.024925232,0.153709412
1.9,0,-0.0290756,-0.070625305,-0.006233215,-0.024925232,0.153709412
1.92,-0.008308411,-0.037384,-0.070625305,-0.012466431,-0.016616821,0.162017822
1.94,-0.002082825,-0.0290756,-0.0727005,-0.010383606,-0.018692017,0.155784607
1.96,0.002075195,-0.0290756,-0.0727005,-0.006233215,-0.016616821,0.155784607
1.98,0,-0.037384,-0.06854248,-0.008308411,-0.016616821,0.157859802
2,-0.006233215,-0.0353088,-0.066467285,-0.00415802,-0.020767212,0.166168213
2.02,-0.00415802,-0.0353088,-0.070625305,-0.016616821,-0.016616821,0.174476624
2.04,-0.002082825,-0.0311584,-0.06439209,-0.010383606,-0.024925232,0.18901825
2.06,-0.008308411,-0.037384,-0.06854248,-0.010383606,-0.018692017,0.203559875
2.08,-0.002082825,-0.037384,-0.070625305,-0.016616821,-0.027000427,0.218093872
2.1,-0.006233215,-0.0415421,-0.066467285,-0.016616821,-0.020767212,0.228485107
2.12,0.004150391,-0.037384,-0.066467285,-0.016616821,-0.018692017,0.234710693
2.14,0,-0.0353088,-0.070625305,-0.020774841,-0.027000427,0.230560303
2.16,-0.002082825,-0.0311584,-0.062316895,-0.020774841,-0.020767212,0.236793518
2.18,-0.00415802,-0.0394669,-0.062316895,-0.016616821,0.008308411,0.265869141
2.2,-0.002082825,-0.0394669,-0.062316895,0,0.074775696,0.299102783
2.22,-0.00415802,-0.0394669,-0.06439209,0.110084534,0.155784607,0.297027588
2.24,-0.002082825,-0.037384,-0.06439209,0.191093445,0.218101501,0.286643982
2.26,-0.002082825,-0.0311584,-0.066467285,0.230560303,0.286643982,0.294952393
2.28,0.006225586,-0.0415421,-0.066467285,0.25340271,0.373878479,0.307411194
2.3,-0.00415802,-0.0332336,-0.047775269,0.267944336,0.469429016,0.32195282
2.32,0,-0.0353088,0.002075195,0.272102356,0.535896301,0.313644409
2.34,-0.00415802,-0.0290756,0.047775269,0.290794373,0.569129944,0.297027588
2.36,-0.00415802,-0.037384,0.085159302,0.303253174,0.58367157,0.292869568
2.38,0,-0.037384,0.110084534,0.32610321,0.596130371,0.307411194
2.4,-0.006233215,-0.037384,0.18901825,0.338569641,0.585746765,0.359336853
