Time,S4_Pre,S4_T1_V2,S4_T2,S4_T3,S4_T4,S4_T5
0,-0.012466431,0.006233215,0.012458801,0.006233215,0.010391235,0.006233215
0.02,-0.014541626,-0.004150391,0.006225586,0.00415802,0.012466431,0.00415802
0.04,-0.010383606,0,0.010383606,0,0.00415802,0.006233215
0.06,-0.010383606,0.008308411,0.006225586,0.002082825,0.006233215,0.008308411
0.08,-0.012466431,0.002075195,-0.006233215,0.008308411,0.008308411,0.006233215
0.1,-0.00415802,0.006233215,0.008308411,0.00415802,0.002082825,0.006233215
0.12,-0.006233215,0.008308411,0.004150391,0.002082825,0.014541626,0.008308411
0.14,0,0.002075195,0.002075195,0.00415802,0.008308411,0
0.16,-0.002075195,0.002075195,0.004150391,0.010391235,0.006233215,-0.002075195
0.18,0,0,0.012458801,0.006233215,0.010391235,0.006233215
0.2,-0.002075195,0.008308411,0.008308411,0.002082825,0.008308411,0
0.22,0,0.008308411,0.004150391,0,0.014541626,0.002082825
0.24,0.004150391,0,0.010383606,0.00415802,0.008308411,0.00415802
0.26,0.004150391,0.022850037,0.010383606,0.010391235,0.008308411,0
0.28,0,0.051925659,0.008308411,0.006233215,0.006233215,0.006233215
0.3,0.010383606,0.091392517,0.004150391,0.006233215,0.014541626,0.010391235
0.32,-0.002075195,0.089317322,0.004150391,0.006233215,0.010391235,0.00415802
0.34,0.004150391,0.076850891,-0.00415802,0.010391235,0,0.006233215
0.36,0.006233215,0.085159302,0.004150391,0.010391235,0.008308411,0.006233215
0.38,0.008308411,0.097625732,0.004150391,0.010391235,0.008308411,0.008308411
0.4,0.010383606,0.095550537,0.014533997,0.006233215,0.00415802,0.00415802
0.42,0.010383606,0.103858948,0.004150391,0.006233215,0.008308411,0.00415802
0.44,0.006233215,0.112167358,0.010383606,0.008308411,0.010391235,0.00415802
0.46,0.002075195,0.116317749,0,0.010391235,0.006233215,0.006233215
0.48,-0.006233215,0.108009338,0.004150391,0.016616821,0,0.00415802
0.5,-0.012466431,0.108009338,0.006225586,0,0.00415802,0.012466431
0.52,0.008308411,0.101776123,0.006225586,0.002082825,0.012466431,0.00415802
0.54,0.035308838,0.093467712,0.002075195,0.008308411,0.006233215,0.006233215
0.56,0.06023407,0.110084534,0.006225586,0,0.008308411,0.00415802
0.58,0.049850464,0.126701355,0.006225586,0,0.010391235,0.00415802
0.6,0.049850464,0.149551392,0.006225586,0.00415802,0.00415802,0.00415802
0.62,0.041542053,0.166168213,0.010383606,0.002082825,0.00415802,-0.002075195
0.64,0.035308838,0.172401428,0.006225586,0.00415802,0.00415802,-0.002075195
0.66,-0.002075195,0.170326233,0.002075195,0.006233215,0.010391235,0.00415802
0.68,-0.024925232,0.164093018,0.004150391,0.002082825,0.008308411,-0.004150391
0.7,-0.033233643,0.13293457,0.008308411,0.00415802,0.018699646,0.00415802
0.72,-0.037391663,0.095550537,0.004150391,0.006233215,0.008308411,0.002082825
0.74,-0.035308838,0.06439209,0.012458801,0.002082825,0.006233215,0.002082825
0.76,-0.035308838,0.035308838,0.002075195,0,0.008308411,0.012466431
0.78,-0.031158447,0.018692017,-0.002082825,0.002082825,0.006233215,0.008308411
0.8,-0.031158447,0.010383606,0.002075195,0.00415802,0.008308411,0.008308411
0.82,-0.035308838,0.018692017,-0.00415802,0.006233215,0.00415802,0.008308411
0.84,-0.041542053,0.054008484,-0.010391235,0.00415802,0.008308411,0.00415802
0.86,-0.041542053,0.093467712,-0.002082825,0,0.002082825,0
0.88,-0.047775269,0.120475769,-0.008308411,0.002082825,0.012466431,0.002082825
0.9,-0.047775269,0.13709259,0,-0.002075195,0.010391235,0.002082825
0.92,-0.051925659,0.151626587,-0.002082825,0.00415802,0.008308411,0.00415802
0.94,-0.047775269,0.151626587,-0.00415802,0.002082825,0.002082825,0
0.96,-0.043617249,0.155784607,0.004150391,-0.004150391,0.006233215,0.008308411
0.98,-0.045700073,0.159934998,0,-0.008308411,0.00415802,0.010391235
1,-0.043617249,0.174476624,-0.00415802,-0.004150391,0.008308411,0.008308411
1.02,-0.041542053,0.18901825,0,0.002082825,0.014541626,0.008308411
1.04,-0.047775269,0.201477051,0.002075195,-0.002075195,0.008308411,0
1.06,-0.045700073,0.203559875,0.002075195,-0.002075195,0.008308411,0.010391235
1.08,-0.037391663,0.222251892,0.006225586,-0.008308411,0.008308411,0.008308411
1.1,-0.045700073,0.230560303,0.006225586,-0.010383606,0.006233215,0.012466431
1.12,-0.045700073,0.230560303,0.010383606,-0.020767212,0.00415802,0.008308411
1.14,-0.045700073,0.234710693,0,-0.016616821,0.00415802,0.002082825
1.16,-0.041542053,0.243019104,-0.002082825,-0.010383606,0.006233215,0.008308411
1.18,-0.037391663,0.255485535,0.008308411,-0.022842407,0.008308411,0.008308411
1.2,-0.035308838,0.265869141,0.039459229,-0.016616821,0.008308411,0.006233215
1.22,-0.039466858,0.286643982,0.06023407,-0.020767212,0.010391235,0.008308411
1.24,-0.041542053,0.263793945,0.091392517,-0.024925232,0.010391235,0.010391235
1.26,-0.039466858,0.245101929,0.118392944,-0.016616821,0.010391235,0.00415802
1.28,-0.037391663,0.249252319,0.151626587,-0.016616821,0.008308411,0.014541626
1.3,-0.035308838,0.263793945,0.195243835,-0.016616821,0.012466431,0.010391235
1.32,-0.039466858,0.276252747,0.259635925,-0.022842407,0.008308411,0.014541626
1.34,0.004150391,0.290794373,0.315719604,-0.018692017,0.014541626,0.014541626
1.36,0.097625732,0.307411194,0.340644836,-0.024925232,0.006233215,0.027008057
1.38,0.178627014,0.3177948,0.344795227,-0.020767212,0.008308411,0.110092163
1.4,0.25756073,0.336494446,0.371795654,-0.020767212,0.010391235,0.191093445
1.42,0.282485962,0.351028442,0.427879333,-0.016616821,0.010391235,0.224327087
1.44,0.290794373,0.357261658,0.483963013,-0.020767212,0.008308411,0.240943909
1.46,0.294944763,0.363494873,0.517196655,-0.012458801,0.006233215,0.255485535
1.48,0.294944763,0.340644836,0.554580688,-0.014533997,0.008308411,0.263793945
1.5,0.313644409,0.334411621,0.596122742,-0.014533997,0.014541626,0.243026733
1.52,0.32610321,0.348953247,0.641822815,-0.014533997,0.010391235,0.170326233
1.54,0.355186462,0.38218689,0.672981262,-0.016616821,0.006233215,0.103858948
1.56,0.392570496,0.421653748,0.685440063,-0.014533997,0.010391235,0.101783752
1.58,0.413345337,0.456962585,0.679206848,-0.014533997,0.010391235,0.168251038
1.6,0.459037781,0.483963013,0.662590027,-0.014533997,0.00415802,0.230560303
1.62,0.496429443,0.483963013,0.677131653,-0.010383606,-0.002075195,0.267951965
1.64,0.531738281,0.45072937,0.710365295,-0.010383606,0.010391235,0.292877197
1.66,0.556663513,0.384262085,0.716598511,-0.012458801,0.010391235,0.313644409
1.68,0.57951355,0.378036499,0.650131226,-0.016616821,0.006233215,0.309494019
1.7,0.598205566,0.405036926,0.537963867,-0.012458801,0.010391235,0.286643982
1.72,0.571205139,0.461120605,0.421646118,-0.018692017,0.012466431,0.274177551
1.74,0.531738281,0.521354675,0.421646118,-0.016616821,0.002082825,0.286643982
1.76,0.481887817,0.569129944,0.504730225,-0.016616821,0.008308411,0.313644409
1.78,0.446578979,0.58366394,0.537963867,-0.016616821,0.006233215,0.344802856
1.8,0.479812622,0.548355103,0.500579834,-0.012458801,0.010391235,0.373878479
1.82,0.531738281,0.481887817,0.452804565,-0.020767212,0.010391235,0.371803284
1.84,0.562896729,0.456962585,0.459037781,-0.018692017,0.010391235,0.342727661
1.86,0.556663513,0.469429016,0.51096344,-0.016616821,0.010391235,0.32611084
1.88,0.492271423,0.483963013,0.600280762,0.00415802,0.037391663,0.32195282
1.9,0.405036926,0.492271423,0.753982544,0.074775696,0.099700928,0.346878052
1.92,0.365570068,0.544204712,0.876533508,0.085166931,0.170326233,0.353111267
1.94,0.3904953,0.627288818,0.96169281,0.095550537,0.213943481,0.369728088
1.96,0.427879333,0.693756104,1.011543274,0.093475342,0.238868713,0.38218689
1.98,0.419570923,0.729064941,1.073860168,0.093475342,0.238868713,0.407112122
2,0.380111694,0.785148621,1.132019043,0.103858948,0.209793091,0.415420532
2.02,0.332336426,0.851615906,1.16317749,0.112167358,0.174476624,0.415420532
2.04,0.284561157,0.903541565,1.192253113,0.108009338,0.149551392,0.427886963
2.06,0.259635925,0.936775208,1.267028809,0.112167358,0.108009338,0.438270569
2.08,0.288719177,0.959625244,1.362579346,0.112167358,0.081008911,0.461120605
2.1,0.315719604,0.97000885,1.462280273,0.118400574,0.093475342,0.492279053
2.12,0.297027588,0.982467651,1.528747559,0.103858948,0.151634216,0.508895874
2.14,0.288719177,1.021934509,1.543281555,0.093475342,0.290794373,0.525512695
