,S1_Pre,S1_T1,S1_T2,S1_T3,S1_T4,S1_T5,S1_T5_2,S2_Pre,S2_T1,S2_T2,S2_T3,S2_T4,S2_T5,S3_Pre,S3_T1,S3_T2,S3_T3,S3_T4,S3_T5,S4_Pre,S4_T1_V2,S4_T2,S4_T3,S4_T4,S4_T5,Time
0,-0.0208,-0.0187,-0.00208,-0.0228,-0.0166,0.0935,-0.0249,-0.0187,-0.0229,-0.0312,-0.0291,-0.0312,-0.00208,0.494,-0.00831,-0.0312,0.00415,0.00208,0.00208,-0.0125,0.00623,0.0125,0.00623,0.0104,0.00623,0.0
1,-0.0187,-0.0166,-0.00208,-0.0208,-0.0187,0.135,-0.0229,-0.00831,-0.0229,-0.0353,-0.0291,-0.0249,-0.00208,0.505,-0.0145,-0.0353,0.00415,0.00416,0.00208,-0.0145,-0.00415,0.00623,0.00416,0.0125,0.00416,0.02
2,-0.0145,-0.0166,-0.00623,-0.0228,-0.0228,0.183,-0.0291,-0.0166,-0.027,-0.0291,-0.0353,-0.0249,0.00415,0.501,-0.00415,-0.0291,0.00208,0.00831,0.0,-0.0104,0.0,0.0104,0.0,0.00416,0.00623,0.04
3,-0.0125,-0.0104,0.00831,-0.0208,-0.027,0.216,-0.027,-0.0187,-0.0291,-0.0312,-0.0312,-0.0332,0.00208,0.494,-0.00623,-0.0312,-0.00208,0.0,0.0,-0.0104,0.00831,0.00623,0.00208,0.00623,0.00831,0.06
4,-0.0145,-0.0166,0.00623,-0.0187,-0.0208,0.216,-0.0291,-0.0104,-0.0291,-0.0353,-0.027,-0.0332,-0.00208,0.496,-0.00831,-0.0353,0.0,-0.00208,0.00208,-0.0125,0.00208,-0.00623,0.00831,0.00831,0.00623,0.08
5,-0.0166,-0.0187,5.55e-17,-0.0166,-0.0166,0.152,-0.0249,-0.0125,-0.0312,-0.0395,-0.0312,-0.0312,-0.00208,0.519,-0.00831,-0.0395,0.00208,0.00416,-0.00415,-0.00416,0.00623,0.00831,0.00416,0.00208,0.00623,0.1
6,-0.0145,-0.0208,-0.00208,-0.0228,-0.027,0.0499,-0.0249,-0.0145,-0.0249,-0.0353,-0.0249,-0.0332,0.0,0.509,-0.0145,-0.0353,0.00208,0.00416,0.00416,-0.00623,0.00831,0.00415,0.00208,0.0145,0.00831,0.12
7,-0.0104,-0.0166,0.00208,-0.0228,-0.0228,-0.00623,-0.0249,-0.0104,-0.0249,-0.0395,-0.0332,-0.027,0.00208,0.509,-0.00831,-0.0395,0.0,0.00416,0.00831,0.0,0.00208,0.00208,0.00416,0.00831,0.0,0.14
8,-0.0166,-0.0166,0.00415,-0.0249,-0.0208,-0.0395,-0.027,-0.0125,-0.0249,-0.0374,-0.0312,-0.0312,0.00208,0.509,-0.0125,-0.0374,-0.00623,0.00416,0.0,-0.00208,0.00208,0.00415,0.0104,0.00623,-0.00208,0.16
9,-0.0229,-0.0229,0.00623,-0.0249,-0.0249,-0.0436,-0.0291,-0.0125,-0.0291,-0.027,-0.0229,-0.0332,-0.00416,0.509,-0.00623,-0.027,0.00415,0.00831,0.0,0.0,0.0,0.0125,0.00623,0.0104,0.00623,0.18
10,-0.0208,-0.0187,0.00208,-0.0249,-0.0187,-0.0457,-0.0229,-0.0104,-0.027,-0.027,-0.0249,-0.0229,0.0,0.507,-0.00623,-0.027,0.0,0.00208,0.00208,-0.00208,0.00831,0.00831,0.00208,0.00831,0.0,0.2
11,-0.0208,-0.0166,-0.00208,-0.0291,-0.0249,-0.027,-0.0249,-0.0145,-0.0332,-0.0312,-0.0249,-0.0291,0.00415,0.499,-0.00623,-0.0312,0.00208,0.00208,-0.00623,0.0,0.00831,0.00415,0.0,0.0145,0.00208,0.22
12,-0.0166,-0.0187,5.55e-17,-0.0353,-0.0228,0.0166,-0.0208,-0.0249,-0.0291,-0.0312,-0.027,-0.0332,-0.00208,0.501,0.0,-0.0312,0.00831,-0.00831,0.00416,0.00415,0.0,0.0104,0.00416,0.00831,0.00416,0.24
13,-0.0145,-0.0145,0.00208,-0.0249,-0.0166,0.081,-0.0249,-0.0166,-0.0249,-0.0353,-0.0291,-0.0291,0.00415,0.511,-0.00831,-0.0353,0.00415,0.0,0.00208,0.00415,0.0229,0.0104,0.0104,0.00831,0.0,0.26
14,-0.0145,-0.0187,-0.00208,-0.0208,-0.0249,0.218,-0.0249,-0.0187,-0.0249,-0.0395,-0.0353,-0.0332,0.00208,0.505,-0.0104,-0.0395,0.00208,0.00208,-0.00415,0.0,0.0519,0.00831,0.00623,0.00623,0.00623,0.28
15,-0.0145,-0.0187,-0.00623,-0.0187,-0.0208,0.366,-0.0208,-0.0104,-0.0291,-0.0332,-0.0332,-0.0229,-0.00831,0.501,-0.0104,-0.0332,0.0,0.00416,0.00208,0.0104,0.0914,0.00415,0.00623,0.0145,0.0104,0.3
16,-0.0187,-0.0166,5.55e-17,-0.0208,-0.0249,0.444,-0.0208,-0.0229,-0.0312,-0.0374,-0.0249,-0.027,-0.00416,0.492,-0.00415,-0.0374,0.00208,0.0,0.00208,-0.00208,0.0893,0.00415,0.00623,0.0104,0.00416,0.32
17,-0.0145,-0.0208,5.55e-17,-0.0208,-0.0249,0.488,-0.0187,-0.0187,-0.0229,-0.0374,-0.0312,-0.0291,-0.00208,0.488,-0.00623,-0.0374,0.00208,0.00208,0.00208,0.00415,0.0769,-0.00416,0.0104,0.0,0.00623,0.34
18,-0.0187,-0.0208,0.00208,-0.0208,-0.0228,0.507,-0.0229,-0.0125,-0.0291,-0.0353,-0.0332,-0.0249,-0.00416,0.474,-0.0145,-0.0353,0.00208,0.00623,0.00623,0.00623,0.0852,0.00415,0.0104,0.00831,0.00623,0.36
19,-0.0187,-0.0208,5.55e-17,-0.0249,-0.0249,0.523,-0.0249,-0.0104,-0.027,-0.0395,-0.0332,-0.0208,0.00208,0.471,-0.00415,-0.0395,-0.00416,0.00623,0.00208,0.00831,0.0976,0.00415,0.0104,0.00831,0.00831,0.38
20,-0.0125,-0.0229,0.00415,-0.0208,-0.0249,0.553,-0.0187,-0.0145,-0.0249,-0.0332,-0.027,-0.0249,-0.00208,0.461,-0.00831,-0.0332,0.00208,0.0,0.00831,0.0104,0.0956,0.0145,0.00623,0.00416,0.00416,0.4
21,-0.0208,-0.0208,0.00208,-0.0249,-0.0187,0.569,-0.0208,-0.0145,-0.0249,-0.0395,-0.0332,-0.0374,0.0,0.476,-0.0208,-0.0395,0.00831,0.00416,-0.00208,0.0104,0.104,0.00415,0.00623,0.00831,0.00416,0.42
22,-0.0125,-0.0166,-0.00416,-0.0228,-0.00623,0.586,-0.0229,-0.0145,-0.0249,-0.0374,-0.0312,-0.0229,-0.00208,0.482,-0.00623,-0.0374,0.00208,0.00831,0.00208,0.00623,0.112,0.0104,0.00831,0.0104,0.00416,0.44
23,-0.0208,-0.0187,-0.00208,-0.0228,-0.00208,0.623,-0.0353,-0.0187,-0.0229,-0.0312,-0.0291,-0.0332,0.0,0.517,-0.00831,-0.0312,0.00623,0.00208,0.00416,0.00208,0.116,0.0,0.0104,0.00623,0.00623,0.46
24,-0.0125,-0.0166,0.00208,-0.0249,-0.00208,0.669,-0.0291,-0.0145,-0.0249,-0.0312,-0.0291,-0.0187,0.0,0.528,-0.00415,-0.0312,0.00415,-0.00208,0.00208,-0.00623,0.108,0.00415,0.0166,0.0,0.00416,0.48
25,-0.0187,-0.0166,0.00415,-0.0166,-0.0125,0.71,-0.0312,-0.0104,-0.0249,-0.0353,-0.0312,-0.0249,-0.00208,0.509,-0.00623,-0.0353,-0.00208,-0.00208,0.00623,-0.0125,0.108,0.00623,0.0,0.00416,0.0125,0.5
26,-0.0145,-0.0208,5.55e-17,-0.0166,-0.0228,0.764,-0.027,-0.0145,-0.027,-0.0291,-0.0374,-0.0291,0.00415,0.471,-0.00831,-0.0291,0.00623,0.00623,-0.00208,0.00831,0.102,0.00623,0.00208,0.0125,0.00416,0.52
27,-0.0208,-0.0187,5.55e-17,-0.0228,-0.0353,0.818,-0.027,-0.0187,-0.0249,-0.0249,-0.0312,-0.027,0.00208,0.426,-0.00208,-0.0249,-0.00208,0.00208,-0.00208,0.0353,0.0935,0.00208,0.00831,0.00623,0.00623,0.54
28,-0.027,-0.0187,5.55e-17,-0.0228,-0.0374,0.893,-0.0291,-0.0125,-0.027,-0.0374,-0.0374,-0.027,0.00415,0.403,-0.00831,-0.0374,0.00623,0.00208,0.00623,0.0602,0.11,0.00623,0.0,0.00831,0.00416,0.56
29,-0.0208,-0.0208,5.55e-17,-0.0208,-0.0249,0.976,-0.0229,-0.0125,-0.0208,-0.0374,-0.0374,-0.0291,0.00208,0.405,-0.0145,-0.0374,0.0,0.00208,0.00208,0.0499,0.127,0.00623,0.0,0.0104,0.00416,0.58
30,-0.00831,-0.0145,0.00415,-0.0166,-0.0208,1.07,-0.0291,-0.0145,-0.0291,-0.0374,-0.0249,-0.0312,0.00623,0.405,-0.00623,-0.0374,-0.00208,-0.00208,0.00623,0.0499,0.15,0.00623,0.00416,0.00416,0.00416,0.6
31,-0.0104,-0.0166,0.00415,-0.0208,-0.00623,1.13,-0.0187,-0.0166,-0.0332,-0.0374,-0.0312,-0.0249,0.00415,0.393,-0.00208,-0.0374,0.00208,0.00416,-0.00415,0.0415,0.166,0.0104,0.00208,0.00416,-0.00208,0.62
32,-0.0125,-0.0187,5.55e-17,-0.0104,-0.00623,1.18,-0.0249,-0.0104,-0.0312,-0.027,-0.0291,-0.0249,0.00415,0.382,-0.00623,-0.027,0.00208,0.00623,0.00416,0.0353,0.172,0.00623,0.00416,0.00416,-0.00208,0.64
33,-0.0166,-0.0166,0.00208,-0.0208,-0.00208,1.24,-0.0229,-0.0104,-0.0249,-0.0332,-0.0312,-0.027,0.00415,0.376,-0.00831,-0.0332,0.0,0.0,0.00416,-0.00208,0.17,0.00208,0.00623,0.0104,0.00416,0.66
34,-0.0208,-0.0166,0.00208,-0.0187,-0.00623,1.3,-0.0187,-0.0125,-0.0166,-0.0312,-0.0312,-0.0312,-0.00623,0.376,-0.00831,-0.0312,0.0,0.0,-0.00415,-0.0249,0.164,0.00415,0.00208,0.00831,-0.00415,0.68
35,-0.0166,-0.0187,5.55e-17,-0.0228,-0.00208,0.858,-0.0312,-0.0166,-0.0291,-0.0312,-0.0332,-0.027,0.00623,0.388,-0.00831,-0.0312,-0.00208,0.0,-0.00623,-0.0332,0.133,0.00831,0.00416,0.0187,0.00416,0.7
36,-0.0249,-0.0145,-0.00208,-0.0208,-0.00416,0.326,-0.027,-0.0166,-0.027,-0.0332,-0.0353,-0.0249,0.00208,0.432,-0.0104,-0.0332,0.00415,0.00416,-0.00415,-0.0374,0.0956,0.00415,0.00623,0.00831,0.00208,0.72
37,-0.0145,-0.0208,0.00831,-0.0249,-0.00623,0.0893,-0.0249,-0.0166,-0.0229,-0.0332,-0.0353,-0.0312,-0.00208,0.503,-0.00623,-0.0332,-0.00208,0.00208,0.0,-0.0353,0.0644,0.0125,0.00208,0.00623,0.00208,0.74
38,-0.0104,-0.0166,0.00208,-0.027,-0.00831,0.0,-0.0229,-0.0145,-0.0187,-0.0332,-0.0332,-0.027,0.00623,0.623,-0.00623,-0.0332,0.00415,-0.00208,0.0,-0.0353,0.0353,0.00208,0.0,0.00831,0.0125,0.76
39,-0.00415,-0.0187,-0.00208,-0.0208,-0.0145,-0.0291,-0.0291,-0.0125,-0.0249,-0.0353,-0.0249,-0.0291,0.00831,0.733,-0.00415,-0.0353,-0.00208,0.00623,0.00208,-0.0312,0.0187,-0.00208,0.00208,0.00623,0.00831,0.78
40,0.00208,-0.0229,0.00208,-0.0166,-0.0145,-0.0457,-0.0249,-0.0104,-0.0291,-0.0395,-0.0291,-0.027,0.0,0.81,-0.00623,-0.0395,-0.00208,-0.00208,0.00831,-0.0312,0.0104,0.00208,0.00416,0.00831,0.00831,0.8
41,-0.00415,-0.0145,0.00623,-0.027,-0.0145,-0.0478,-0.0249,-0.0166,-0.0291,-0.0332,-0.0208,-0.0291,0.0,0.868,-0.0187,-0.0332,0.00623,0.0104,0.00831,-0.0353,0.0187,-0.00416,0.00623,0.00416,0.00831,0.82
