Data Set 1:Time(s),Data Set 1:Force G(N),Data Set 2:Time(s),Data Set 2:Force G(N),Data Set 3:Time(s),Data Set 3:Force G(N),Data Set 4:Time(s),Data Set 4:Force G(N),
0,-0.012458801,0,-0.016616821,0,0.062309265,0,-0.022842407,
0.02,-0.012458801,0.02,-0.018692017,0.02,0.062309265,0.02,-0.020767212,
0.04,-0.004150391,0.04,-0.022850037,0.04,0.047775269,0.04,-0.022842407,
0.06,-0.006225586,0.06,-0.027000427,0.06,0.047775269,0.06,-0.020767212,
0.08,-0.004150391,0.08,-0.020774841,0.08,0.031158447,0.08,-0.018692017,
0.1,-0.004150391,0.1,-0.016616821,0.1,0.004150391,0.1,-0.016616821,
0.12,-0.008308411,0.12,-0.027000427,0.12,-0.008308411,0.12,-0.022842407,
0.14,-0.010383606,0.14,-0.022850037,0.14,-0.022850037,0.14,-0.022842407,
0.16,-0.006225586,0.16,-0.020774841,0.16,-0.022850037,0.16,-0.024925232,
0.18,-0.008308411,0.18,-0.024925232,0.18,-0.022850037,0.18,-0.024925232,
0.2,-0.012458801,0.2,-0.018692017,0.2,-0.027000427,0.2,-0.024925232,
0.22,-0.008308411,0.22,-0.024925232,0.22,-0.022850037,0.22,-0.029075623,
0.24,-0.008308411,0.24,-0.022850037,0.24,-0.018692017,0.24,-0.035308838,
0.26,-5.55E-17,0.26,-0.016616821,0.26,-0.024925232,0.26,-0.024925232,
0.28,0.00415802,0.28,-0.024925232,0.28,-0.022850037,0.28,-0.020767212,
0.3,-0.006225586,0.3,-0.020774841,0.3,-0.022850037,0.3,-0.018692017,
0.32,-0.002075195,0.32,-0.024925232,0.32,-0.031158447,0.32,-0.020767212,
0.34,-0.004150391,0.34,-0.024925232,0.34,-0.018692017,0.34,-0.020767212,
0.36,-0.008308411,0.36,-0.022850037,0.36,-0.029083252,0.36,-0.020767212,
0.38,-0.014533997,0.38,-0.024925232,0.38,-0.027000427,0.38,-0.024925232,
0.4,-0.012458801,0.4,-0.024925232,0.4,-0.027000427,0.4,-0.020767212,
0.42,-0.012458801,0.42,-0.018692017,0.42,-0.029083252,0.42,-0.024925232,
0.44,-0.014533997,0.44,-0.006233215,0.44,-0.029083252,0.44,-0.022842407,
0.46,-0.014533997,0.46,-0.002075195,0.46,-0.027000427,0.46,-0.022842407,
0.48,-0.012458801,0.48,-0.002075195,0.48,-0.020774841,0.48,-0.024925232,
0.5,-0.012458801,0.5,-0.012466431,0.5,-0.024925232,0.5,-0.016616821,
0.52,-0.018692017,0.52,-0.022850037,0.52,-0.029083252,0.52,-0.016616821,
0.54,-0.012458801,0.54,-0.035308838,0.54,-0.031158447,0.54,-0.022842407,
0.56,-0.018692017,0.56,-0.037391663,0.56,-0.024925232,0.56,-0.022842407,
0.58,-0.018692017,0.58,-0.024925232,0.58,-0.031158447,0.58,-0.020767212,
0.6,-0.018692017,0.6,-0.020774841,0.6,-0.029083252,0.6,-0.016616821,
0.62,-0.012458801,0.62,-0.006233215,0.62,-0.029083252,0.62,-0.020767212,
0.64,-0.018692017,0.64,-0.006233215,0.64,-0.018692017,0.64,-0.010383606,
0.66,-0.020767212,0.66,-0.002075195,0.66,-0.027000427,0.66,-0.020767212,
0.68,-0.022842407,0.68,-0.006233215,0.68,-0.029083252,0.68,-0.018692017,
,,0.7,-0.002075195,0.7,-0.027000427,0.7,-0.022842407,
,,0.72,-0.00415802,0.72,-0.024925232,0.72,-0.020767212,
,,0.74,-0.006233215,0.74,-0.020774841,0.74,-0.024925232,
,,0.76,-0.008308411,0.76,-0.018692017,0.76,-0.027000427,
,,0.78,-0.014541626,0.78,-0.020774841,0.78,-0.020767212,
,,0.8,-0.014541626,0.8,-0.020774841,0.8,-0.016616821,
,,0.82,-0.014541626,0.82,-0.027000427,0.82,-0.027000427,
