Data Set 1:Time(s),Data Set 1:Force G(N),Data Set 2:Time(s),Data Set 2:Force G(N),Data Set 3:Time(s),Data Set 3:Force G(N),Data Set 4:Time(s),Data Set 4:Force G(N),Data Set 5:Time(s),Data Set 5:Force G(N),
0,-0.022850037,0,-0.027008057,0,-0.008308411,0,-0.022850037,0,0.093467712,
0.02,-0.016616821,0.02,-0.018699646,0.02,-0.008308411,0.02,-0.020774841,0.02,0.135009766,
0.04,-0.020774841,0.04,-0.022850037,0.04,-0.006233215,0.04,-0.020774841,0.04,0.182785034,
0.06,-0.020774841,0.06,-0.024925232,0.06,-0.006233215,0.06,-0.020774841,0.06,0.216018677,
0.08,-0.022850037,0.08,-0.022850037,0.08,-0.010391235,0.08,-0.022850037,0.08,0.216018677,
0.1,-0.022850037,0.1,-0.022850037,0.1,-0.008308411,0.1,-0.018692017,0.1,0.151626587,
0.12,-0.018699646,0.12,-0.018699646,0.12,-0.002082825,0.12,-0.012466431,0.12,0.049850464,
0.14,-0.022850037,0.14,-0.018699646,0.14,-0.006233215,0.14,-0.014541626,0.14,-0.006233215,
0.16,-0.022850037,0.16,-0.027008057,0.16,-0.002082825,0.16,-0.014541626,0.16,-0.039466858,
0.18,-0.018699646,0.18,-0.018699646,0.18,-0.002082825,0.18,-0.020774841,0.18,-0.043624878,
0.2,-0.016616821,0.2,-0.018699646,0.2,-0.008308411,0.2,-0.012466431,0.2,-0.045700073,
0.22,-0.024925232,0.22,-0.016616821,0.22,-0.010391235,0.22,-0.008308411,0.22,-0.027008057,
0.24,-0.020774841,0.24,-0.024925232,0.24,0,0.24,-0.016616821,0.24,0.016616821,
0.26,-0.016616821,0.26,-0.022850037,0.26,-0.002082825,0.26,-0.020774841,0.26,0.081001282,
0.28,-0.022850037,0.28,-0.020774841,0.28,-0.006233215,0.28,-0.020774841,0.28,0.218093872,
0.3,-0.016616821,0.3,-0.024925232,0.3,-0.010391235,0.3,-0.020774841,0.3,0.365570068,
0.32,-0.016616821,0.32,-0.020774841,0.32,-0.010391235,0.32,-0.016616821,0.32,0.444496155,
0.34,-0.016616821,0.34,-0.024925232,0.34,0,0.34,-0.018692017,0.34,0.488113403,
0.36,-0.016616821,0.36,-0.024925232,0.36,-0.014541626,0.36,-0.020774841,0.36,0.506813049,
0.38,-0.020774841,0.38,-0.020774841,0.38,-0.014541626,0.38,-0.027000427,0.38,0.523429871,
0.4,-0.022850037,0.4,-0.012466431,0.4,-0.012466431,0.4,-0.014541626,0.4,0.552505493,
0.42,-0.018699646,0.42,-0.027008057,0.42,-0.012466431,0.42,-0.020774841,0.42,0.569122314,
0.44,-0.020774841,0.44,-0.014541626,0.44,-0.00415802,0.44,-0.035308838,0.44,0.585739136,
0.46,-0.016616821,0.46,-0.020774841,0.46,-0.010391235,0.46,-0.010383606,0.46,0.623130798,
0.48,-0.022850037,0.48,-0.018699646,0.48,-0.00415802,0.48,0.006233215,0.48,0.668823242,
0.5,-0.020774841,0.5,-0.010391235,0.5,-0.010391235,0.5,-0.00415802,0.5,0.710365295,
0.52,-0.014541626,0.52,-0.014541626,0.52,-0.008308411,0.52,-0.012466431,0.52,0.764373779,
0.54,-0.020774841,0.54,-0.012466431,0.54,-0.010391235,0.54,-0.031158447,0.54,0.818374634,
0.56,-0.018699646,0.56,-0.016616821,0.56,-0.006233215,0.56,-0.024925232,0.56,0.89315033,
0.58,-0.018699646,0.58,-0.027008057,0.58,-0.008308411,0.58,-0.010383606,0.58,0.976234436,
0.6,-0.029083252,0.6,-0.029083252,0.6,-0.008308411,0.6,-0.018692017,0.6,1.067626953,
0.62,-0.018699646,0.62,-0.027008057,0.62,-0.008308411,0.62,-0.016616821,0.62,1.129943848,
0.64,-0.022850037,0.64,-0.010391235,0.64,-0.010391235,0.64,-0.027000427,0.64,1.179794312,
0.66,-0.020774841,0.66,-0.014541626,0.66,-0.002082825,0.66,-0.010383606,0.66,1.237953186,
0.68,-0.014541626,0.68,0,0.68,-0.008308411,0.68,-0.002075195,0.68,1.302337646,
0.7,-0.020774841,0.7,0.029075623,0.7,-0.00415802,0.7,0.004150391,0.7,0.857841492,
0.72,-0.020774841,0.72,0.037384033,0.72,-0.008308411,0.72,0.006233215,0.72,0.32610321,
0.74,-0.022850037,0.74,0.033233643,0.74,-0.010391235,0.74,0.014541626,0.74,0.089309692,
0.76,-0.018699646,0.76,0.014533997,0.76,-0.008308411,0.76,0.016616821,0.76,0,
0.78,-0.020774841,0.78,0.004150391,0.78,-0.008308411,0.78,0.012458801,0.78,-0.029083252,
0.8,-0.020774841,0.8,0.004150391,0.8,-0.012466431,0.8,0.012458801,0.8,-0.045700073,
0.82,-0.016616821,0.82,0.006225586,0.82,-0.00415802,0.82,0.014541626,0.82,-0.047775269,
0.84,-0.018699646,0.84,0.006225586,0.84,-0.010391235,0.84,0.016616821,0.84,-0.049850464,
0.86,-0.020774841,0.86,0.008308411,0.86,-0.008308411,0.86,0.014541626,0.86,-0.045700073,
0.88,-0.018699646,0.88,0.006225586,0.88,-0.012466431,0.88,0.056083679,0.88,-0.043624878,
