Data Set 1:Time(s),Data Set 1:Force G(N),Data Set 2:Time(s),Data Set 2:Force G(N),Data Set 3:Time(s),Data Set 3:Force G(N),Data Set 4:Time(s),Data Set 4:Force G(N),Data Set 5:Time(s),Data Set 5:Force G(N),,,
0,0.228004456,0,-0.016616821,0,-0.020774841,0,-0.022850037,0,-0.018699646,,,
0.02,0.244621277,0.02,-0.018692017,0.02,-0.024925232,0.02,-0.024925232,0.02,-0.008308411,,,
0.04,0.236312866,0.04,-0.024925232,0.04,-0.020774841,0.04,-0.016616821,0.04,-0.016616821,,,2.207954407
0.06,0.244621277,0.06,-0.018692017,0.06,-0.016616821,0.06,-0.024925232,0.06,-0.018699646,,,
0.08,0.240463257,0.08,-0.014541626,0.08,-0.018699646,0.08,-0.022850037,0.08,-0.010391235,,,
0.1,0.238388062,0.1,-0.022850037,0.1,-0.016616821,0.1,-0.018699646,0.1,-0.012466431,,,
0.12,0.244621277,0.12,-0.024925232,0.12,-0.018699646,0.12,-0.016616821,0.12,-0.014541626,,,
0.14,0.240463257,0.14,-0.022850037,0.14,-0.022850037,0.14,-0.016616821,0.14,-0.010391235,,,
0.16,0.230079651,0.16,-0.020767212,0.16,-0.014541626,0.16,-0.022850037,0.16,-0.012466431,,,
0.18,0.236312866,0.18,-0.020767212,0.18,-0.018699646,0.18,-0.020774841,0.18,-0.012466431,,,
0.2,0.232154846,0.2,-0.016616821,0.2,-0.014541626,0.2,-0.022850037,0.2,-0.010391235,,,
0.22,0.236312866,0.22,-0.024925232,0.22,-0.022850037,0.22,-0.020774841,0.22,-0.014541626,,,
0.24,0.234230042,0.24,-0.020767212,0.24,-0.014541626,0.24,-0.016616821,0.24,-0.024925232,,,
0.26,0.230079651,0.26,-0.016616821,0.26,-0.018699646,0.26,-0.016616821,0.26,-0.016616821,,,
0.28,0.230079651,0.28,-0.020767212,0.28,-0.022850037,0.28,-0.016616821,0.28,-0.018699646,,,
0.3,0.234230042,0.3,-0.018692017,0.3,-0.024925232,0.3,-0.020774841,0.3,-0.010391235,,,
0.32,0.242538452,0.32,-0.020767212,0.32,-0.014541626,0.32,-0.020774841,0.32,-0.022850037,,,
0.34,0.242538452,0.34,-0.014541626,0.34,-0.016616821,0.34,-0.018699646,0.34,-0.018699646,,,
0.36,0.236312866,0.36,-0.024925232,0.36,-0.020774841,0.36,-0.016616821,0.36,-0.012466431,,,
0.38,0.236312866,0.38,-0.016616821,0.38,-0.027008057,0.38,-0.024925232,0.38,-0.010391235,,,
0.4,0.236312866,0.4,-0.020767212,0.4,-0.022850037,0.4,-0.018699646,0.4,-0.014541626,,,
0.42,0.234230042,0.42,-0.008308411,0.42,-0.012466431,0.42,-0.024925232,0.42,-0.014541626,,,
0.44,0.242538452,0.44,-0.018692017,0.44,-0.010391235,0.44,-0.020774841,0.44,-0.014541626,,,
0.46,0.244621277,0.46,-0.012458801,0.46,-0.014541626,0.46,-0.020774841,0.46,-0.018699646,,,
0.48,0.236312866,0.48,-0.022850037,0.48,-0.016616821,0.48,-0.022850037,0.48,-0.014541626,,,
0.5,0.238388062,0.5,-0.016616821,0.5,-0.014541626,0.5,-0.014541626,0.5,-0.010391235,,,
0.52,0.246696472,0.52,-0.014541626,0.52,-0.016616821,0.52,-0.018699646,0.52,-0.014541626,,,
0.54,0.248771667,0.54,-0.012458801,0.54,-0.020774841,0.54,-0.018699646,0.54,-0.018699646,,,
0.56,0.236312866,0.56,-0.016616821,0.56,-0.014541626,0.56,-0.016616821,0.56,-0.012466431,,,
0.58,0.242538452,0.58,-0.014541626,0.58,-0.018699646,0.58,-0.012466431,0.58,-0.012466431,,,
0.6,0.240463257,0.6,-0.016616821,0.6,-0.020774841,0.6,-0.020774841,0.6,-0.014541626,,,
0.62,0.236312866,0.62,-0.012458801,0.62,-0.020774841,0.62,-0.020774841,0.62,-0.016616821,,,
0.64,0.240463257,0.64,-0.016616821,0.64,-0.016616821,0.64,-0.016616821,0.64,-0.010391235,,,
0.66,0.228004456,0.66,-0.014541626,0.66,-0.014541626,0.66,-0.018699646,0.66,-0.010391235,,,
0.68,0.232154846,0.68,-0.018692017,0.68,-0.022850037,0.68,-0.027008057,0.68,-0.012466431,,,
0.7,0.238388062,0.7,-0.016616821,0.7,-0.016616821,0.7,-0.024925232,0.7,-0.016616821,,,
0.72,0.242538452,0.72,-0.008308411,0.72,-0.020774841,0.72,-0.024925232,0.72,-0.016616821,,,
0.74,0.242538452,0.74,-0.018692017,0.74,-0.016616821,0.74,-0.014541626,0.74,-0.016616821,,,
0.76,0.244621277,0.76,-0.014541626,0.76,-0.020774841,0.76,-0.016616821,0.76,-0.014541626,,,
0.78,0.240463257,0.78,-0.022850037,0.78,-0.016616821,0.78,-0.024925232,0.78,-0.012466431,,,
0.8,0.236312866,0.8,-0.022850037,0.8,-0.008308411,0.8,-0.014541626,0.8,-0.010391235,,,
0.82,0.240463257,0.82,-0.016616821,0.82,-0.012466431,0.82,-0.020774841,0.82,-0.016616821,,,
0.84,0.234230042,0.84,-0.027000427,0.84,-0.008308411,0.84,-0.020774841,0.84,-0.012466431,,,
0.86,0.238388062,0.86,-0.022850037,0.86,0.022842407,0.86,-0.020774841,0.86,-0.020774841,,,
0.88,0.232154846,0.88,-0.018692017,0.88,0.037384033,0.88,-0.018699646,0.88,-0.016616821,,,
0.9,0.242538452,0.9,-0.024925232,0.9,0.037384033,0.9,-0.016616821,0.9,-0.016616821,,,
0.92,0.244621277,0.92,-0.024925232,0.92,0.020767212,0.92,-0.024925232,0.92,-0.010391235,,,
0.94,0.240463257,0.94,-0.018692017,0.94,0,0.94,-0.020774841,0.94,-0.020774841,,,
0.96,0.238388062,0.96,-0.010383606,0.96,-0.008308411,0.96,-0.016616821,0.96,-0.016616821,,,
0.98,0.238388062,0.98,-0.012458801,0.98,-0.014541626,0.98,-0.022850037,0.98,-0.020774841,,,
1,0.240463257,1,-0.016616821,1,-0.014541626,1,-0.018699646,1,-0.014541626,,,
1.02,0.236312866,1.02,-0.020767212,1.02,-0.020774841,1.02,-0.014541626,1.02,-0.014541626,,,
1.04,0.244621277,1.04,-0.024925232,1.04,-0.024925232,1.04,-0.020774841,1.04,-0.020774841,,,
1.06,0.252929688,1.06,-0.020767212,1.06,-0.027008057,1.06,-0.012466431,1.06,-0.014541626,,,
1.08,0.244621277,1.08,-0.024925232,1.08,-0.012466431,1.08,-0.020774841,1.08,-0.016616821,,,
1.1,0.255004883,1.1,-0.020767212,1.1,-0.014541626,1.1,-0.016616821,1.1,-0.012466431,,,
1.12,0.275772095,1.12,-0.020767212,1.12,-0.016616821,1.12,-0.020774841,1.12,-0.014541626,,,
1.14,0.290313721,1.14,-0.020767212,1.14,-0.018699646,1.14,-0.016616821,1.14,-0.012466431,,,
1.16,0.28200531,1.16,-0.022850037,1.16,-0.018699646,1.16,-0.022850037,1.16,-0.006233215,,,
1.18,0.28616333,1.18,-0.020767212,1.18,-0.014541626,1.18,-0.029083252,1.18,-0.016616821,,,
1.2,0.292388916,1.2,-0.020767212,1.2,-0.020774841,1.2,-0.024925232,1.2,-0.014541626,,,
1.22,0.292388916,1.22,-0.020767212,1.22,-0.020774841,1.22,-0.022850037,1.22,-0.018699646,,,
1.24,0.290313721,1.24,-0.014541626,1.24,-0.018699646,1.24,-0.022850037,1.24,-0.020774841,,,
1.26,0.28200531,1.26,-0.020767212,1.26,-0.014541626,1.26,-0.022850037,1.26,-0.022850037,,,
1.28,0.28616333,1.28,-0.024925232,1.28,-0.016616821,1.28,-0.020774841,1.28,-0.014541626,,,
1.3,0.28200531,1.3,-0.016616821,1.3,-0.020774841,1.3,-0.022850037,1.3,-0.012466431,,,
1.32,0.275772095,1.32,-0.012458801,1.32,-0.018699646,1.32,-0.018699646,1.32,-0.016616821,,,
1.34,0.28200531,1.34,-0.014541626,1.34,-0.016616821,1.34,-0.020774841,1.34,-0.008308411,,,
1.36,0.279930115,1.36,-0.016616821,1.36,-0.018699646,1.36,-0.018699646,1.36,-0.008308411,,,
1.38,0.290313721,1.38,-0.020767212,1.38,-0.024925232,1.38,-0.016616821,1.38,-0.010391235,,,
1.4,0.300697327,1.4,-0.020767212,1.4,-0.020774841,1.4,-0.020774841,1.4,-0.012466431,,,
1.42,0.300697327,1.42,-0.016616821,1.42,-0.022850037,1.42,-0.024925232,1.42,-0.014541626,,,
1.44,0.304855347,1.44,-0.018692017,1.44,-0.024925232,1.44,-0.020774841,1.44,-0.014541626,,,
1.46,0.313163757,1.46,-0.020767212,1.46,-0.024925232,1.46,-0.027008057,1.46,-0.014541626,,,
1.48,0.311088562,1.48,-0.018692017,1.48,-0.027008057,1.48,-0.027008057,1.48,-0.014541626,,,
