Data Set 1:Time(s),Data Set 1:Force G(N),Data Set 2:Time(s),Data Set 2:Force G(N),Data Set 3:Time(s),Data Set 3:Force G(N),,,,,1.248336792
0,-0.035316467,0,-0.029083252,0,-0.022850037,,,,,
0.02,-0.033233643,0.02,-0.029083252,0.02,-0.022850037,1.248336792,,,,
0.04,-0.039466858,0.04,-0.029083252,0.04,-0.027008057,,,,,
0.06,-0.033233643,0.06,-0.031158447,0.06,-0.029083252,,,,,
0.08,-0.027008057,0.08,-0.033233643,0.08,-0.029083252,,,,,
0.1,-0.029083252,0.1,-0.035316467,0.1,-0.031158447,,,,,
0.12,-0.031158447,0.12,-0.035316467,0.12,-0.024925232,,,,,
0.14,-0.029083252,0.14,-0.031158447,0.14,-0.024925232,,,,,
0.16,-0.027008057,0.16,-0.031158447,0.16,-0.024925232,,,,,
0.18,-0.031158447,0.18,-0.031158447,0.18,-0.029083252,,,,,
0.2,-0.031158447,0.2,-0.033233643,0.2,-0.027008057,,,,,
0.22,-0.029083252,0.22,-0.029083252,0.22,-0.033233643,,,,,
0.24,-0.031158447,0.24,-0.031158447,0.24,-0.029083252,,,,,
0.26,-0.029083252,0.26,-0.037391663,0.26,-0.024925232,,,,,
0.28,-0.027008057,0.28,-0.031158447,0.28,-0.024925232,,,,,
0.3,-0.029083252,0.3,-0.033233643,0.3,-0.029083252,,,,,
0.32,-0.027008057,0.32,-0.033233643,0.32,-0.031158447,,,,,
0.34,-0.029083252,0.34,-0.037391663,0.34,-0.022850037,,,,,
0.36,-0.031158447,0.36,-0.031158447,0.36,-0.029083252,,,,,
0.38,-0.033233643,0.38,-0.027008057,0.38,-0.027008057,,,,,
0.4,-0.033233643,0.4,-0.029083252,0.4,-0.024925232,,,,,
0.42,-0.031158447,0.42,-0.027008057,0.42,-0.024925232,,,,,
0.44,-0.031158447,0.44,-0.035316467,0.44,-0.024925232,,,,,
0.46,-0.033233643,0.46,-0.029083252,0.46,-0.022850037,,,,,
0.48,-0.027008057,0.48,-0.035316467,0.48,-0.024925232,,,,,
0.5,-0.033233643,0.5,-0.033233643,0.5,-0.024925232,,,,,
0.52,-0.037391663,0.52,-0.027008057,0.52,-0.027008057,,,,,
0.54,-0.033233643,0.54,-0.031158447,0.54,-0.024925232,,,,,
0.56,-0.033233643,0.56,-0.035316467,0.56,-0.027008057,,,,,
0.58,-0.031158447,0.58,-0.029083252,0.58,-0.020774841,,,,,
0.6,-0.029083252,0.6,-0.033233643,0.6,-0.029083252,,,,,
0.62,-0.035316467,0.62,-0.037391663,0.62,-0.033233643,,,,,
0.64,-0.027008057,0.64,-0.031158447,0.64,-0.031158447,,,,,
0.66,-0.027008057,0.66,-0.031158447,0.66,-0.024925232,,,,,
0.68,-0.029083252,0.68,-0.033233643,0.68,-0.016616821,,,,,
0.7,-0.031158447,0.7,-0.029083252,0.7,-0.029083252,,,,,
0.72,-0.035316467,0.72,-0.037391663,0.72,-0.027008057,,,,,
0.74,-0.027008057,0.74,-0.033233643,0.74,-0.022850037,,,,,
0.76,-0.029083252,0.76,-0.035316467,0.76,-0.018699646,,,,,
0.78,-0.031158447,0.78,-0.027008057,0.78,-0.024925232,,,,,
0.8,-0.027008057,0.8,-0.043624878,0.8,-0.029083252,,,,,
0.82,-0.029083252,0.82,-0.037391663,0.82,-0.029083252,,,,,
0.84,-0.033233643,0.84,-0.027008057,0.84,-0.029083252,,,,,
0.86,-0.029083252,0.86,-0.024925232,0.86,-0.027008057,,,,,
0.88,-0.031158447,0.88,-0.033233643,0.88,-0.024925232,,,,,
0.9,-0.033233643,0.9,-0.031158447,0.9,-0.029083252,,,,,
0.92,-0.033233643,0.92,-0.033233643,0.92,-0.024925232,,,,,
0.94,-0.031158447,0.94,-0.031158447,0.94,-0.027008057,,,,,
0.96,-0.035316467,0.96,-0.037391663,0.96,-0.029083252,,,,,
0.98,-0.033233643,0.98,-0.029083252,0.98,-0.029083252,,,,,
1,-0.035316467,1,-0.033233643,1,-0.033233643,,,,,
1.02,-0.041542053,1.02,-0.029083252,1.02,-0.031158447,,,,,
1.04,-0.035316467,1.04,-0.033233643,1.04,-0.033233643,,,,,
1.06,-0.033233643,1.06,-0.031158447,1.06,-0.035316467,,,,,
1.08,-0.031158447,1.08,-0.029083252,1.08,-0.029083252,,,,,
1.1,-0.029083252,1.1,-0.033233643,1.1,-0.024925232,,,,,
1.12,-0.029083252,1.12,-0.033233643,1.12,-0.029083252,,,,,
1.14,-0.033233643,1.14,-0.035316467,1.14,-0.016616821,,,,,
1.16,-0.027008057,1.16,-0.039466858,1.16,-0.029083252,,,,,
1.18,-0.029083252,1.18,-0.031158447,1.18,-0.020774841,,,,,
