Data Set 1:Time(s),Data Set 1:pH
0,4.4477262496948242
0.5,4.4501323699951172
1,4.4549446105957031
1.5,4.4597563743591309
2,4.462162971496582
2.5,4.4645686149597168
3,4.5110855102539062
3.5,4.7348461151123047
4,4.7877788543701172
4.5,4.9008626937866211
5,5.0011138916015625
5.5,5.1278314590454102
6,5.1414656639099121
6.5,5.1310396194458008
7,5.126227855682373
7.5,5.1350498199462891
8,5.139862060546875
8.5,5.1382579803466797
9,5.1350498199462891
9.5,5.126227855682373
10,5.1198115348815918
10.5,5.1198115348815918
11,5.1190094947814941
11.5,5.126227855682373
12,5.1310396194458008
12.5,5.1334457397460938
13,5.1294355392456055
13.5,5.126227855682373
14,5.1190094947814941
14.5,5.1133956909179688
15,5.1085834503173828
15.5,5.1037712097167969
16,5.0981574058532715
16.5,5.0941472053527832
17,5.0885334014892578
17.5,5.0837211608886719
18,5.0797109603881836
18.5,5.0757007598876953
19,5.0700869560241699
19.5,5.0692849159240723
20,5.065274715423584
20.5,5.0612649917602539
21,5.0620670318603516
21.5,5.0580568313598633
22,5.0580568313598633
22.5,5.0580568313598633
23,5.056452751159668
23.5,5.0548486709594727
24,5.0548486709594727
24.5,5.054046630859375
25,5.0708889961242676
25.5,5.0572547912597656
26,5.0436205863952637
26.5,5.045224666595459
27,5.042818546295166
27.5,5.0460267066955566
28,5.0460267066955566
28.5,5.047630786895752
29,5.0468287467956543
29.5,5.0468287467956543
30,5.0436205863952637
30.5,5.0436205863952637
31,5.042818546295166
31.5,5.0444226264953613
32,5.0420165061950684
32.5,5.042818546295166
33,5.0412144660949707
33.5,5.0364022254943848
34,5.0347986221313477
34.5,5.0323925018310547
35,5.0307884216308594
35.5,5.0275802612304688
36,5.0267782211303711
36.5,5.0283823013305664
37,5.0211644172668457
37.5,5.0155501365661621
38,5.0155501365661621
38.5,5.0163521766662598
39,5.0171542167663574
39.5,5.0171542167663574
40,5.0155501365661621
40.5,5.0091342926025391
41,5.0099363327026367
41.5,5.0083322525024414
42,5.0075302124023438
42.5,5.0083322525024414
43,5.0083322525024414
43.5,5.0083322525024414
44,5.0059261322021484
44.5,5.0027179718017578
45,5.0019159317016602
45.5,5.0003118515014648
46,4.9802618026733398
46.5,4.9810638427734375
47,4.9802618026733398
47.5,4.9810638427734375
48,4.9738454818725586
48.5,4.9770536422729492
49,4.9746475219726562
49.5,5.698061466217041
50,7.0398259162902832
50.5,7.2579727172851562
51,7.3213315010070801
51.5,7.3269457817077637
52,7.2611808776855469
52.5,7.2988753318786621
53,7.209050178527832
53.5,7.1665434837341309
54,7.2603788375854492
54.5,7.3109054565429688
55,7.2483487129211426
55.5,7.1986236572265625
56,7.2194762229919434
56.5,7.0406274795532227
57,6.9058899879455566
57.5,7.0229835510253906
58,7.112006664276123
58.5,7.2844390869140625
59,7.1777715682983398
59.5,7.1689496040344238
60,7.1881976127624512
60.5,7.0951642990112305
61,7.1569194793701172
61.5,7.0959663391113281
62,7.103184700012207
62.5,7.0823321342468262
63,7.0101513862609863
63.5,7.0406274795532227
64,7.019775390625
64.5,7.0021309852600098
65,7.0414295196533203
65.5,6.9941110610961914
66,6.5939078330993652
66.5,6.2690930366516113
67,6.3083915710449219
67.5,6.1519994735717773
68,6.0798187255859375
68.5,6.0886406898498535
69,6.0060338973999023
69.5,4.0242643356323242
70,4.0154428482055664
70.5,4.0282745361328125
71,4.0403051376342773
71.5,4.0475225448608398
72,4.0523347854614258
72.5,4.0571470260620117
73,4.0603551864624023
73.5,4.0651674270629883
74,4.0667715072631836
