Data Set 1:Time(s),Data Set 1:pH
0,4.1181001663208008
0.5,4.0523347854614258
1,4.0908317565917969
1.5,4.0627613067626953
2,4.0972476005554199
2.5,4.1582002639770508
3,4.1565961837768555
3.5,4.1654186248779297
4,4.2592535018920898
4.5,4.5977025032043457
5,4.7091817855834961
5.5,4.833493709564209
6,4.8936443328857422
6.5,4.9674291610717773
7,4.9971036911010742
7.5,5.0035200119018555
8,5.0444226264953613
8.5,5.1125936508178711
9,5.1390600204467773
9.5,5.1550998687744141
10,5.1542978286743164
10.5,5.1470799446105957
11,5.1430697441101074
11.5,5.1350498199462891
12,5.1310396194458008
12.5,5.1310396194458008
13,5.1310396194458008
13.5,5.1174054145812988
14,5.1310396194458008
14.5,5.1166033744812012
15,5.1174054145812988
15.5,5.1133956909179688
16,5.1117916107177734
16.5,5.0981574058532715
17,5.1125936508178711
17.5,5.1061773300170898
18,5.1174054145812988
18.5,5.1166033744812012
19,5.1117916107177734
19.5,5.1093854904174805
20,5.1069793701171875
20.5,5.1061773300170898
21,5.1045732498168945
21.5,4.8936443328857422
22,4.9177045822143555
22.5,4.9096846580505371
23,4.8872284889221191
23.5,4.8760004043579102
24,4.8792085647583008
24.5,4.8768024444580078
25,4.8703861236572266
25.5,4.8703861236572266
26,4.8687820434570312
26.5,4.8687820434570312
27,4.8679800033569336
27.5,4.8671779632568359
28,4.86236572265625
28.5,4.8631677627563477
29,4.8615641593933105
29.5,4.8615641593933105
30,4.8607621192932129
30.5,4.8575539588928223
31,4.8583559989929199
31.5,4.8583559989929199
32,4.8575539588928223
32.5,4.8567519187927246
33,4.8535442352294922
33.5,4.8527421951293945
34,4.8527421951293945
34.5,4.8503360748291016
35,4.8479299545288086
35.5,4.8471279144287109
36,4.8415136337280273
36.5,4.839909553527832
37,4.833493709564209
37.5,4.833493709564209
38,4.8294839859008789
38.5,4.8278794288635254
39,4.831087589263916
39.5,4.8246712684631348
40,4.8238697052001953
40.5,4.819859504699707
41,4.8238697052001953
41.5,4.822265625
42,4.8142452239990234
42.5,4.8078293800354004
43,4.8150472640991211
43.5,4.8022150993347168
44,4.7773528099060059
44.5,4.7813625335693359
45,4.7797589302062988
45.5,6.0188655853271484
46,10.212580680847168
46.5,11.717153549194336
47,11.919260025024414
47.5,12.0098876953125
48,12.086078643798828
48.5,12.128585815429688
49,12.118960380554199
49.5,12.172695159912109
50,12.183923721313477
50.5,12.199161529541016
51,12.208786010742188
51.5,12.21119213104248
52,12.251293182373047
52.5,12.272144317626953
53,12.264123916625977
53.5,12.284976959228516
54,12.288987159729004
54.5,12.292194366455078
55,12.293798446655273
55.5,12.276155471801758
56,12.271343231201172
56.5,12.269739151000977
57,12.26171875
57.5,12.250490188598633
58,12.257707595825195
58.5,12.260114669799805
59,12.252896308898926
59.5,12.260916709899902
60,12.264123916625977
60.5,12.264123916625977
61,12.272144317626953
61.5,12.272947311401367
62,12.349939346313477
62.5,12.338711738586426
63,12.317057609558105
63.5,12.309037208557129
64,12.296205520629883
64.5,12.300214767456055
65,12.426130294799805
65.5,12.434952735900879
66,12.452597618103027
66.5,12.433349609375
67,12.437358856201172
67.5,12.421318054199219
68,12.423725128173828
68.5,12.431745529174805
69,12.132595062255859
69.5,11.430835723876953
70,11.389131546020508
70.5,11.446073532104492
71,11.405170440673828
71.5,11.422815322875977
72,11.248779296875
72.5,11.26722526550293
73,11.120456695556641
73.5,10.988927841186523
74,10.84697151184082
74.5,10.759552001953125
75,10.819703102111816
75.5,10.838150024414062
76,10.818099021911621
76.5,10.826921463012695
77,10.752334594726562
77.5,10.696994781494141
78,10.660904884338379
78.5,10.607170104980469
79,10.583109855651855
79.5,10.495691299438477
80,10.385814666748047
80.5,10.428321838378906
81,10.375389099121094
81.5,10.378597259521484
82,10.336090087890625
82.5,10.266315460205078
83,10.320852279663086
83.5,10.246265411376953
84,10.341704368591309
84.5,10.187718391418457
85,10.155637741088867
85.5,10.154836654663086
86,10.129171371459961
86.5,10.141201972961426
87,10.144410133361816
87.5,10.131577491760254
88,10.132379531860352
88.5,10.078644752502441
89,10.066615104675293
89.5,6.3741564750671387
90,5.4293880462646484
90.5,5.031590461730957
91,4.6634674072265625
91.5,4.5447697639465332
92,4.4782028198242188
92.5,4.4356966018676758
93,4.4028139114379883
