Data Set 1:Time(s),Data Set 1:pH
0,4.144566536
0.5,4.136546135
1,4.139754295
1.5,4.140556335
2,4.141358376
2.5,4.144566536
3,4.138150215
3.5,4.138952255
4,4.138952255
4.5,4.140556335
5,4.128525734
5.5,4.195093155
6,4.282512188
6.5,4.337851048
7,4.374743462
7.5,4.400407791
8,4.438102245
8.5,4.465370655
9,4.51028347
9.5,4.544769764
10,4.649833202
10.5,4.723618507
11,4.766926765
11.5,4.789382935
12,4.811839104
12.5,4.827077866
13,4.851138115
13.5,4.841513634
14,4.843919754
14.5,4.848731995
15,4.855949879
15.5,4.857553959
16,4.861564159
16.5,4.867177963
17,4.880010605
17.5,4.909684658
18,4.936953068
18.5,4.959409237
19,4.969835281
19.5,4.973043442
20,4.980261803
20.5,4.985875607
21,4.988281727
21.5,4.993895531
22,4.994697571
22.5,4.994697571
23,4.995499611
23.5,4.995499611
24,4.997905731
24.5,4.997905731
25,5.002717972
25.5,5.009134293
26,5.019560337
26.5,5.019560337
27,5.029986382
27.5,5.034798622
28,5.046026707
28.5,5.043620586
29,5.039610386
29.5,5.038006306
30,5.035600662
30.5,5.043620586
31,5.063670635
31.5,5.07409668
32,5.089334965
32.5,5.096553326
33,5.10457325
33.5,5.114197731
34,5.116603374
34.5,5.114197731
35,5.114197731
35.5,5.110187531
36,5.118207455
36.5,5.10697937
37,5.115801334
37.5,5.111791611
38,5.10617733
38.5,5.10296917
39,5.10216713
39.5,5.098157406
40,5.095751286
40.5,5.092543125
41,5.090137005
41.5,5.086127281
42,5.080513
42.5,5.083721161
43,5.07971096
43.5,5.0765028
44,5.07489872
44.5,5.068482876
45,4.734846115
45.5,4.723618507
46,4.693141937
46.5,4.676299572
47,4.657853127
47.5,4.646625042
48,4.639407158
48.5,4.632188797
49,4.626574516
49.5,4.622564793
50,4.616950989
50.5,4.612940788
51,4.611336708
51.5,4.612940788
52,4.609732628
52.5,4.608930588
53,4.605722427
53.5,4.606524467
54,4.604920387
54.5,4.604118347
55,4.603316307
55.5,4.608128548
56,4.611336708
56.5,4.625772953
57,4.641813278
57.5,4.661061287
58,4.669081688
58.5,4.669081688
59,4.667477608
59.5,4.664269447
60,4.660259247
60.5,4.657853127
61,4.648229122
61.5,4.681111336
62,4.944972992
62.5,5.025174141
63,5.058858871
63.5,5.086127281
64,5.095751286
64.5,5.10537529
65,5.116603374
65.5,5.124623775
66,5.124623775
66.5,5.128633499
67,5.13184166
67.5,5.13585186
68,5.13424778
68.5,5.13745594
69,5.13906002
69.5,5.143069744
70,5.13825798
70.5,5.101365089
71,5.091741085
71.5,5.10457325
72,5.10617733
72.5,5.10537529
73,5.10457325
73.5,5.10296917
74,5.101365089
74.5,5.127831459
75,5.180764198
75.5,5.187180519
76,5.185576439
76.5,5.183972359
77,5.177556515
77.5,5.175150394
78,5.171942234
78.5,5.180764198
79,5.16392231
79.5,5.159912109
80,5.159912109
80.5,5.155901909
81,5.157505989
81.5,5.155901909
82,5.151090145
82.5,5.151090145
83,5.149486065
83.5,5.147881985
84,5.147881985
84.5,5.145475864
85,5.145475864
85.5,5.142267704
86,5.144673824
86.5,5.143069744
87,5.13906002
87.5,5.13745594
88,5.139862061
88.5,5.13745594
89,5.140664101
89.5,5.13745594
90,5.13745594
90.5,5.13424778
91,5.130237579
91.5,5.096553326
92,5.096553326
92.5,5.098959446
93,5.100563049
93.5,5.098959446
94,5.099761486
94.5,5.096553326
95,5.097355366
95.5,5.096553326
96,5.094949245
96.5,5.093345165
97,5.093345165
97.5,5.113395691
98,5.098959446
98.5,5.127029419
99,5.13344574
99.5,5.139862061
100,5.141465664
100.5,5.140664101
101,5.144673824
101.5,5.094949245
102,5.069284916
102.5,5.070086956
103,5.065274715
103.5,5.064472675
104,5.062067032
104.5,5.057254791
105,5.054046631
105.5,5.054046631
106,5.05003643
106.5,5.04843235
107,5.04843235
107.5,5.046828747
108,5.046828747
108.5,5.044422626
109,5.044422626
109.5,5.042818546
110,5.041214466
110.5,5.042016506
111,5.040412426
111.5,5.041214466
112,5.042016506
112.5,5.042016506
113,5.042016506
113.5,5.039610386
114,5.040412426
114.5,5.040412426
115,5.039610386
115.5,5.041214466
116,5.039610386
116.5,5.038006306
117,5.037204266
117.5,5.034798622
118,5.037204266
118.5,5.037204266
119,5.036402225
119.5,5.033996582
120,5.034798622
120.5,5.033996582
121,5.030788422
121.5,5.031590462
122,5.031590462
122.5,5.029184341
123,5.029986382
123.5,5.029986382
124,5.025976181
124.5,5.023570061
125,5.025174141
125.5,5.010737896
126,5.033996582
126.5,5.167932034
127,5.223270893
127.5,5.246529579
128,5.264975548
128.5,5.281015873
129,5.299461842
129.5,5.311491966
130,5.317908287
130.5,5.327532291
131,5.329938412
131.5,5.334750652
132,5.339562416
132.5,5.346780777
133,5.351593018
133.5,5.359612942
134,5.362820625
134.5,5.346780777
135,5.363622665
135.5,5.359612942
136,5.364424706
136.5,5.369236946
137,5.367632866
137.5,5.370038986
138,5.370038986
138.5,5.369236946
139,5.370841026
139.5,5.370038986
140,5.370841026
140.5,5.370841026
141,5.370841026
141.5,5.373247147
142,5.374049187
142.5,5.370038986
143,5.390891075
143.5,5.400515556
144,5.402921677
144.5,5.40773344
145,5.409337521
145.5,5.410941601
146,5.40612936
146.5,5.40452528
147,5.403723717
147.5,5.410139561
148,5.40773344
148.5,5.40612936
149,5.410139561
149.5,5.411743641
