Data Set 1:Time(s),Data Set 1:pH
0,4.1229119300842285
0.5,4.1301298141479492
1,4.1533880233764648
1.5,4.1237139701843262
2,4.1501803398132324
2.5,4.0804052352905273
3,4.1124858856201172
3.5,4.1148920059204102
4,4.155794620513916
4.5,4.1742410659790039
5,4.1582002639770508
5.5,4.1622104644775391
6,4.1590023040771484
6.5,4.1525864601135254
7,4.3338408470153809
7.5,4.4356966018676758
8,4.4790048599243164
8.5,4.5215115547180176
9,4.5864744186401367
9.5,4.6273770332336426
10,4.7019639015197754
10.5,4.7452726364135742
11,4.7773528099060059
11.5,4.8134431838989258
12,4.8278794288635254
12.5,4.8463258743286133
13,4.8479299545288086
13.5,4.8583559989929199
14,4.8607621192932129
14.5,4.8784065246582031
15,4.8856244087219238
15.5,4.8944463729858398
16,4.9048728942871094
16.5,4.9088826179504395
17,4.9193086624145508
17.5,4.9265270233154297
18,4.9361510276794434
18.5,4.9433689117431641
19,4.9570035934448242
19.5,4.9866776466369629
20,4.9938955307006836
20.5,4.9995098114013672
21,4.9954996109008789
21.5,4.9906878471374512
22,5.0179562568664551
22.5,5.040412425994873
23,5.0508384704589844
23.5,5.054046630859375
24,5.0861272811889648
24.5,5.0901370048522949
25,5.0981574058532715
25.5,5.0989594459533691
26,5.0997614860534668
26.5,5.1061773300170898
27,5.1093854904174805
27.5,5.1109895706176758
28,5.1109895706176758
28.5,5.1109895706176758
29,5.1101875305175781
29.5,4.9995098114013672
30,4.9874796867370605
30.5,4.9858756065368652
31,4.9834699630737305
31.5,4.9802618026733398
32,4.9762516021728516
32.5,4.9746475219726562
33,4.9690332412719727
33.5,4.9642214775085449
34,4.9642214775085449
34.5,4.9634194374084473
35,4.959409236907959
35.5,4.959409236907959
36,4.9562015533447266
36.5,4.9529933929443359
37,4.9513893127441406
37.5,4.9650235176086426
38,4.9698352813720703
38.5,4.9377551078796387
39,4.9225168228149414
39.5,4.8864264488220215
40,5.0051240921020508
40.5,5.0917410850524902
41,5.1238217353820801
41.5,5.1238217353820801
42,5.1166033744812012
42.5,5.1093854904174805
43,5.1013650894165039
43.5,5.0965533256530762
44,5.0877313613891602
44.5,5.0773048400878906
45,5.0773048400878906
45.5,5.067680835723877
46,5.0708889961242676
46.5,5.0668787956237793
47,5.0644726753234863
47.5,5.0620670318603516
48,5.0596609115600586
48.5,5.0596609115600586
49,5.0556507110595703
49.5,4.9914898872375488
50,4.9906878471374512
50.5,4.9802618026733398
51,4.9826679229736328
51.5,4.9802618026733398
52,4.9786577224731445
52.5,4.970637321472168
53,4.9778556823730469
53.5,4.9794597625732422
54,4.9730434417724609
54.5,4.970637321472168
55,4.9674291610717773
55.5,4.9658255577087402
56,4.959409236907959
56.5,4.959409236907959
57,4.9521913528442383
57.5,4.9425668716430664
58,4.9112887382507324
58.5,4.9810638427734375
59,4.9746475219726562
59.5,4.9642214775085449
60,4.9650235176086426
60.5,4.9610133171081543
61,4.9578056335449219
61.5,4.9586076736450195
62,4.9537954330444336
62.5,4.9545974731445312
63,4.9489831924438477
63.5,4.945775032043457
64,4.9417648315429688
64.5,4.936953067779541
65,4.9353489875793457
65.5,4.928131103515625
66,4.936953067779541
66.5,5.2377071380615234
67,5.4125456809997559
67.5,5.5504913330078125
68,5.6579608917236328
68.5,5.7357559204101562
69,5.8111448287963867
69.5,5.8761081695556641
70,5.9362587928771973
70.5,5.9891915321350098
71,6.0308961868286133
71.5,6.0726003646850586
72,6.1159090995788574
72.5,6.1592178344726562
73,6.2025260925292969
73.5,6.2378149032592773
74,6.3813748359680176
74.5,6.4174652099609375
75,6.4294953346252441
75.5,6.4294953346252441
76,6.4294953346252441
76.5,6.4543576240539551
77,6.5810756683349609
77.5,6.6476421356201172
78,6.693356990814209
78.5,6.7334575653076172
79,6.7623300552368164
79.5,6.7895984649658203
80,6.8152627944946289
80.5,6.8409271240234375
81,6.8649873733520508
81.5,6.8898496627807617
82,6.9098997116088867
82.5,6.9339604377746582
83,6.9491982460021973
83.5,7.0101513862609863
84,7.0542616844177246
84.5,7.0711040496826172
85,7.0759162902832031
85.5,7.0823321342468262
86,7.0847382545471191
86.5,7.0863423347473145
87,7.0903525352478027
87.5,7.0911545753479004
88,7.0871443748474121
88.5,7.0871443748474121
89,7.0879464149475098
89.5,7.1785736083984375
90,7.2619829177856445
90.5,7.3141136169433594
91,7.3606300354003906
91.5,7.3967204093933105
92,7.4344148635864258
92.5,7.4640893936157227
93,7.4897537231445312
93.5,7.5154180526733398
94,7.5370721817016602
94.5,7.5539145469665527
95,7.5763711929321289
95.5,7.6052432060241699
96,7.6381258964538574
96.5,7.6702060699462891
97,7.6966724395751953
97.5,7.7183270454406738
98,7.7391791343688965
98.5,7.769655704498291
99,7.792111873626709
99.5,7.8129644393920898
100,7.8249945640563965
100.5,7.8450446128845215
101,7.86669921875
101.5,7.8923635482788086
102,7.9124135971069336
102.5,7.9292559623718262
103,7.9549202919006348
103.5,7.9741683006286621
104,8.0014362335205078
104.5,8.0094566345214844
105,8.0367250442504883
105.5,8.0631914138793945
106,8.07843017578125
106.5,8.1040945053100586
107,8.1217384338378906
107.5,8.1578292846679688
108,8.1850967407226562
108.5,8.1947212219238281
109,8.1995334625244141
109.5,8.2308120727539062
110,8.2540702819824219
110.5,8.3053989410400391
111,8.3519153594970703
111.5,8.3847980499267578
112,8.4096603393554688
112.5,8.433720588684082
113,8.4513645172119141
113.5,8.4633951187133789
114,8.4754257202148438
114.5,8.4874553680419922
115,8.50189208984375
115.5,8.5147237777709961
116,8.5283584594726562
116.5,8.5427942276000977
117,8.5588340759277344
117.5,8.5732707977294922
118,8.5861024856567383
118.5,8.5973310470581055
119,8.6069545745849609
119.5,8.6173810958862305
120,8.647857666015625
120.5,8.6671056747436523
121,8.6847496032714844
121.5,8.6943740844726562
122,8.7088108062744141
122.5,8.7256526947021484
123,8.7360782623291016
123.5,8.7465047836303711
124,8.7585353851318359
124.5,8.7729711532592773
125,8.7890110015869141
125.5,8.8002395629882812
126,8.8162803649902344
126.5,8.8275079727172852
127,8.8379344940185547
127.5,8.8475580215454102
128,8.8579845428466797
128.5,8.8555784225463867
129,8.8716182708740234
129.5,8.882044792175293
130,8.8868570327758789
130.5,8.8948764801025391
131,8.9045009613037109
131.5,8.9101152420043945
132,8.9181356430053711
132.5,8.9237489700317383
133,8.9293632507324219
